date,PX_LAST,LOG_VOLUME
8/20/01,1345.9,11.73630899
8/21/01,1347.15,13.46348906
8/22/01,1346.74,12.69948453
8/23/01,1350.55,12.17120166
8/24/01,1360.02,12.71260708
8/27/01,1356.89,13.337865
8/28/01,1346.33,13.05952155
8/29/01,1340.8,14.54708294
8/31/01,1334.71,13.21773174
9/3/01,1322.17,11.98901056
9/4/01,1323.45,11.9799622
9/5/01,1321.86,11.47866523
9/6/01,1312.95,12.81809925
9/7/01,1309.12,12.984762
9/10/01,1321.13,12.54328033
9/11/01,1273.54,11.24914219
9/12/01,1274.95,11.35347242
9/13/01,1278.21,12.36768116
9/14/01,1279.82,12.73629493
9/17/01,1281.63,12.64649619
9/18/01,1264.94,12.9250971
9/19/01,1258.65,12.05488923
9/20/01,1227.04,12.79234149
9/21/01,1197.37,13.67614734
9/24/01,1218.32,12.82455555
9/25/01,1218,13.10665464
9/26/01,1219.83,12.24399444
9/27/01,1208.52,12.15869274
9/28/01,1217.95,12.09842062
10/1/01,1219.37,10.99574637
10/2/01,1207.86,12.15211792
10/3/01,1197.15,12.74303374
10/4/01,1189.05,13.07494887
10/5/01,1168.21,12.13064842
10/9/01,1134.69,13.42755722
10/10/01,1131.88,11.99701073
10/11/01,1140.36,13.16980025
10/12/01,1133.97,11.45352572
10/15/01,1142.07,12.63926316
10/16/01,1141.78,13.17142779
10/17/01,1149.51,12.02207168
10/18/01,1144.02,12.26910848
10/19/01,1137.21,11.65105129
10/22/01,1137.21,11.8377588
10/23/01,1145.63,12.02662296
10/24/01,1159.18,12.11096495
10/25/01,1156.87,12.87989938
10/26/01,1156.03,13.50149135
10/29/01,1150.5,12.56000934
10/30/01,1141.08,11.66112131
10/31/01,1139.33,12.46254652
11/5/01,1139.6,11.04341771
11/6/01,1131.21,13.18930214
11/7/01,1146.58,13.42181294
11/8/01,1156.86,13.44568524
11/9/01,1153.53,10.72361974
11/12/01,1141.13,11.58763397
11/13/01,1145.35,12.23097499
11/14/01,1160.57,13.33785211
11/15/01,1168.98,11.83310135
11/16/01,1174.95,12.02802793
11/19/01,1178.78,13.24487831
11/20/01,1171.38,13.34554373
11/21/01,1158.88,11.16884234
11/22/01,1162.65,12.45812625
11/23/01,1172.25,12.51240963
11/26/01,1178.49,12.83911413
11/27/01,1178.75,12.35211915
11/28/01,1179.41,12.963806
11/29/01,1172.94,12.55454756
11/30/01,1167.46,12.18263
